Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
,,KOKKU,18,49.60,"1,359,500","10,000","374,000",352.11,"2,675.25","1,144.60","1,155.83",661.72
,Maardu linn,"10-29,99",2,***,***,***,***,***,***,***,***,***
,,"30-40,99",3,***,***,***,***,***,***,***,***,***
,,"41-54,99",3,***,***,***,***,***,***,***,***,***
,,KOKKU,8,38.40,"481,200","43,500","90,000","1,119.40","2,004.61","1,608.61","1,602.17",289.84
,Mustamäe linnaosa,"10-29,99",15,21.80,"746,900","10,000","99,900",336.70,"3,589.74","2,491.64","2,359.48",912.76
,,"30-40,99",12,34.90,"1,275,910","24,000","171,490",672.27,"4,213.51","2,878.85","2,993.37",993.06
,,"41-54,99",47,44.90,"5,179,450","75,000","186,780","1,736.11","4,522.52","2,163.87","2,458.85",665.13
,,"55-69,99",33,60.80,"4,670,550","60,000","227,700",993.38,"3,666.67","2,310.29","2,332.11",571.71
,,"70-249,99",6,76.20,"1,271,720","153,000","280,720","2,124.83","3,382.17","2,781.95","2,765.45",576.41
,,KOKKU,113,47.10,"13,144,530","10,000","280,720",336.70,"4,522.52","2,348.45","2,481.69",729.45
,Nõmme linnaosa,"10-29,99",4,***,***,***,***,***,***,***,***,***
,,"30-40,99",4,***,***,***,***,***,***,***,***,***
,,"41-54,99",5,48.70,"688,900","96,000","183,000","2,051.28","4,236.11","2,657.99","2,862.06",818.15
,,"55-69,99",6,63.40,"1,045,500","132,000","310,000","2,054.79","5,081.97","2,387.63","2,765.89","1,153.50"
,,"70-249,99",4,***,***,***,***,***,***,***,***,***
,,KOKKU,23,51.50,"3,268,572","11,437","310,000",795.34,"5,081.97","2,575.25","2,724.03",865.13
,Pirita linnaosa,"10-29,99",1,***,***,***,***,***,***,***,***,***
,,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",2,***,***,***,***,***,***,***,***,***
,,"55-69,99",2,***,***,***,***,***,***,***,***,***
,,"70-249,99",3,***,***,***,***,***,***,***,***,***
,,KOKKU,9,57.50,"1,533,996","69,900","360,000","2,342.86","4,522.61","2,704.28","2,893.06",658.09
,Põhja-Tallinna linnaosa,"10-29,99",16,20.00,"918,950","25,950","130,000","1,425.82","4,371.58","2,687.35","2,860.06",827.54
,,"30-40,99",24,37.00,"2,830,600","40,000","175,000","1,020.41","4,888.27","3,093.87","3,202.43",990.39
,,"41-54,99",21,48.10,"3,041,919","13,869","230,000",306.16,"4,974.89","2,944.44","2,996.20","1,119.78"
,,"55-69,99",16,60.60,"2,905,990","97,000","450,000","1,639.18","7,525.08","2,476.64","2,992.84","1,511.18"
,,"70-249,99",14,97.00,"5,080,745","10,000","712,000",101.83,"5,994.55","3,931.77","3,797.24","1,434.71"
,,KOKKU,91,49.90,"14,778,204","10,000","712,000",101.83,"7,525.08","3,024.69","3,149.30","1,188.33"
,Raasiku vald,"41-54,99",1,***,***,***,***,***,***,***,***,***
,,"70-249,99",2,***,***,***,***,***,***,***,***,***
,,KOKKU,3,***,***,***,***,***,***,***,***,***
,Rae vald,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",6,48.00,"882,990","75,000","179,500","1,677.85","3,693.42","3,321.31","3,061.52",757.52
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,"70-249,99",36,104.10,"9,944,575","79,000","640,000",962.24,"3,577.42","2,663.07","2,623.41",514.91
,,KOKKU,46,92.60,"11,630,055","75,000","640,000",962.24,"3,973.21","2,715.36","2,764.00",603.47
,Saku vald,"41-54,99",3,***,***,***,***,***,***,***,***,***
